sample	group	group2	treatment	timepoint_days	age	sex	animal_id	collection_date	species	specimen_source	specimen_type	specimen_fraction	isolation_method	filename
81	E2DOM126	E2DO	E2DOM	ecoli	2	old	Male	126	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_126_me_t1
82	E2DOM127	E2DO	E2DOM	ecoli	2	old	Male	127	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_127_me_t1
83	E2DOM129	E2DO	E2DOM	ecoli	2	old	Male	129	10/25/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Old_129_me_t1
84	E18DYF86	E18DY	E18DYF	ecoli	18	young	Female	86	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_86_fe_t2
85	E18DYF87	E18DY	E18DYF	ecoli	18	young	Female	87	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_87_fe_t2
86	E18DYF88	E18DY	E18DYF	ecoli	18	young	Female	88	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_88_fe_t2
87	E18DYF89	E18DY	E18DYF	ecoli	18	young	Female	89	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_89_fe_t2
88	E18DYF91	E18DY	E18DYF	ecoli	18	young	Female	91	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_91_fe_t2
89	E18DYF92	E18DY	E18DYF	ecoli	18	young	Female	92	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_92_fe_t2
90	E18DYF93	E18DY	E18DYF	ecoli	18	young	Female	93	11/12/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_93_fe_t2
91	E18DYM38	E18DY	E18DYM	ecoli	18	young	Male	38	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_38_me_t2
92	E18DYM39	E18DY	E18DYM	ecoli	18	young	Male	39	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_39_me_t2
93	E18DYM40	E18DY	E18DYM	ecoli	18	young	Male	40	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_40_me_t2
94	E18DYM41	E18DY	E18DYM	ecoli	18	young	Male	41	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_41_me_t2
95	E18DYM43	E18DY	E18DYM	ecoli	18	young	Male	43	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_43_me_t2
96	E18DYM44	E18DY	E18DYM	ecoli	18	young	Male	44	11/13/2024	Mus musculus	Brain	RNA	Whole	RNA - Qiagen RNeasy Universal plus	Young_44_me_t2
